id,season_id,rank_id,kill_death_ratio,average_damage,match_counts,is_party,create_date
331,10,20,2.3,800,200,1,2021-11-12 09:17:45.943
332,8,20,3.8,1000,1000,1,2021-11-12 10:07:38.820
333,10,16,1.65,560,1000,1,2021-11-12 10:13:03.780
334,10,8,1,1000,-1,0,2021-11-12 10:15:33.710
335,10,16,1.12,414.5,1200,0,2021-11-12 10:15:36.787
336,10,12,0.34,131.04,1009,0,2021-11-12 10:16:52.230
337,10,16,1.2,400,1000,0,2021-11-12 10:17:51.290
338,10,20,18,1380,3300,1,2021-11-12 10:20:30.767
339,10,21,0.5,95,15000,0,2021-11-12 10:20:44.000
340,10,0,99.99,89401,14223845,0,2021-11-12 10:22:26.283
341,10,21,5.8,1100,50000,1,2021-11-12 10:22:38.380
342,10,20,2.8,510,3000,0,2021-11-12 10:22:39.493
343,11,16,1.35,440.62,4952,1,2021-11-12 10:23:00.410
344,10,20,4.5,1000,1260,0,2021-11-12 10:23:06.653
345,11,20,7,1100,10000,1,2021-11-12 10:23:10.250
346,11,20,4.89,840,1200,1,2021-11-12 10:23:18.250
347,7,16,0.6,300,-1,0,2021-11-12 10:23:34.457
348,11,20,1.5,600,10000,0,2021-11-12 10:24:05.997
349,10,16,2.29,755.21,552,1,2021-11-12 10:24:07.487
350,8,16,5,1080,100,0,2021-11-12 10:24:12.603
351,9,14,1.2,900,1000,0,2021-11-12 10:24:20.417
352,10,21,2.29,755.21,552,1,2021-11-12 10:24:41.103
353,10,0,0,0,0,0,2021-11-12 10:25:40.440
354,9,16,1,460,300,0,2021-11-12 10:26:30.530
355,10,12,1.74,548,966,0,2021-11-12 10:26:40.490
356,4,21,99.99,99999.99,123456789,0,2021-11-12 10:27:35.937
357,9,12,1.8,600,100,0,2021-11-12 10:28:01.447
358,11,12,0.38,162,969,0,2021-11-12 10:28:06.553
359,0,22,1.5,1000,1,0,2021-11-12 10:28:15.600
360,10,20,4.5,950,1300,1,2021-11-12 10:28:50.143
361,10,22,1.65,560,1000,0,2021-11-12 10:28:54.387
362,10,20,2.5,700,600,1,2021-11-12 10:29:30.497
363,10,12,9.6,1200,1200,0,2021-11-12 10:30:00.943
364,10,12,0.35,175.62,498,1,2021-11-12 10:30:20.790
365,10,17,2.5,700,200,1,2021-11-12 10:31:37.353
366,8,16,0.82,377,540,0,2021-11-12 10:31:57.480
367,10,20,2.8,1400,-1,0,2021-11-12 10:32:02.553
368,10,22,3,800,300,0,2021-11-12 10:32:27.897
369,8,16,0.6,324,540,0,2021-11-12 10:32:49.803
370,10,22,3,880,300,1,2021-11-12 10:32:52.290
371,10,22,3,880,300,0,2021-11-12 10:33:06.740
372,12,22,2.5,750,250,0,2021-11-12 10:33:13.343
373,10,16,1.82,609,605,0,2021-11-12 10:33:20.280
