id,kill_death_ratio,average_damage,match_counts,is_party,rank_id
853,3.8,913.18,1759,0,16
854,1.29,1000,3000,0,12
855,2.27,676.93,14443,0,17
856,1.08,1000,3672,0,12
857,1.55,491.45,3910,1,22
858,2.29,689.5,141,1,13
859,1.86,640.88,467,1,22
860,0.7,304,-1,0,8
861,0.7,304,-1,1,8
862,2.2,600,10000,0,20
863,0.18,100,-1,0,1
864,4.9,240,500,0,8
865,0.79,277.11,3840,0,13
866,0.79,277.11,3840,0,13
867,0.8,300,10000,1,20
868,1,292,1260,0,15
869,1.85,800,250,0,20
870,2,700,100,0,18
871,1.31,365.69,63,1,22
872,1.31,365.69,61,1,22
873,1.06,993.97,316,1,22
874,0.8,400,400,0,16
875,5,1000,100,0,19
876,3.6,1659,3046,0,21
877,1.3,480,6000,0,16
878,2.31,700,700,0,17
879,1.6,500,200,1,20
880,1.25,465,7670,0,16
881,1.12,461,234,0,12
882,0.8,332,5300,0,16
883,1.65,665,373,1,16
884,2.49,854,216,1,16
885,1.86,760,256,1,16
886,4.14,1048,68,1,12
887,0.6067,291.4,372,0,16
888,1,394.76,45400,0,16
889,1.33,366,414,0,13
890,1.74,554.87,230,0,13
891,0.32,173.48,-1,0,22
892,0.65,198,27,0,0
893,92,2428,230,0,9
894,6.5,1600,30,1,21
895,1.25,4305,1275,0,21
896,12,1800,40,1,16
897,0.45,258.73,483,0,22
898,0.6,300,931,0,12
899,1.6,650,11000,0,20
900,2.88,722,1760,1,20
901,5.2,1144,2150,1,20
902,1.8,500,1000,0,16
903,1,396,200,0,19
904,2.2,620,1400,1,17
905,0.22,158.75,806,1,9
906,1.94,511.21,822,0,8
907,1.9,800,2000,0,20
908,1.94,511.21,822,0,21
909,1.9,800,1000,0,20
910,1.9,800,500,0,20
911,34.5,4281.6,3,0,0
912,1.18,400,500,0,12
913,6.8,980,500,0,0
914,6.8,980,500,0,20
915,0.52,236,249,0,12
916,2.6,720,5000,0,20
917,3,3500,100000,0,21
918,1.9,800,6000,0,17
919,1.02,401,588,1,12
920,0.61,292,1390,0,16
921,2.09,587,3090,0,20
922,2.09,587,3090,1,20
923,1.86,80947,399,0,21
924,1,1000,200,0,11
925,1.3,500,1000,0,4
926,2.3,746,774,0,18
927,1.5,560,774,0,18
928,1.5,900,800,0,20
